referencetime,mean_air_temperature,mean_relative_humidity,mean_wind_speed,sum_precipitation_amount,avgadultfemalelice,avgmobilelice,avgstationarylice,seatemperature,localityname
2021-01-10,1.8357142857142856,76.42857142857143,5.985714285714286,8.4,0.06,0.11,0.0,6.9,Andholmen 1
2021-01-17,-0.3428571428571429,78.0,4.728571428571429,16.599999999999998,0.0,0.1,0.08,6.0,Andholmen 1
2021-01-24,3.6571428571428575,73.71428571428571,5.714285714285714,25.0,0.01,0.22,0.22,5.9,Andholmen 1
2021-01-31,2.4714285714285715,79.28571428571429,8.928571428571429,50.6,0.02,0.62,0.12,5.5,Andholmen 1
2021-02-07,-1.8214285714285714,65.85714285714286,5.014285714285714,3.5,0.02,0.91,0.06,5.1,Andholmen 1
2021-02-14,-0.6928571428571428,66.42857142857143,7.128571428571428,14.5,0.05,1.16,0.01,5.2,Andholmen 1
2021-02-21,4.107142857142857,72.42857142857143,4.671428571428572,2.2,0.06,0.54,0.09,4.8,Andholmen 1
2021-02-28,6.485714285714286,85.71428571428571,10.414285714285715,23.2,0.2,0.62,0.0,5.2,Andholmen 1
2021-03-07,4.235714285714286,81.85714285714286,10.257142857142856,74.7,0.11,0.34,0.05,5.7,Andholmen 1
2021-03-14,4.178571428571429,75.0,6.5,22.7,0.16,0.49,0.0,5.2,Andholmen 1
2021-03-21,4.128571428571428,85.0,8.614285714285716,27.9,0.1,0.32,0.05,5.1,Andholmen 1
2021-03-28,6.121428571428572,82.0,10.5,13.9,0.08,0.15,0.02,5.5,Andholmen 1
2021-04-04,5.292857142857143,80.57142857142857,11.9,21.3,0.08,0.2,0.02,5.8,Andholmen 1
2021-04-11,2.8000000000000003,82.0,9.585714285714285,58.4,0.02,0.24,0.0,5.7,Andholmen 1
2021-04-18,5.128571428571428,76.57142857142857,5.071428571428571,5.5,0.05,0.25,0.0,5.6,Andholmen 1
2021-04-25,5.235714285714286,75.71428571428571,6.114285714285714,32.4,0.05,0.1,0.0,6.2,Andholmen 1
2021-05-02,4.264285714285714,72.42857142857143,3.6571428571428575,0.4,0.12,0.27,0.01,6.4,Andholmen 1
2021-05-09,5.942857142857142,65.42857142857143,5.914285714285714,0.30000000000000004,0.11,0.24,0.0,6.7,Andholmen 1
2021-05-16,8.721428571428572,89.28571428571429,6.414285714285714,7.5,0.11,0.19,0.0,7.5,Andholmen 1
2021-05-23,8.485714285714286,87.14285714285714,5.257142857142857,14.1,0.07,0.16,0.02,8.3,Andholmen 1
2021-05-30,9.578571428571427,87.42857142857143,6.028571428571429,0.0,0.1,0.1,0.16,9.2,Andholmen 1
2021-06-06,12.592857142857143,88.28571428571429,4.114285714285715,0.2,0.03,0.56,0.23,9.8,Andholmen 1
2021-06-13,12.842857142857143,89.14285714285714,6.5,37.1,0.04,1.41,0.51,11.7,Andholmen 1
2021-06-20,11.078571428571427,88.57142857142857,7.2,29.3,0.36,2.43,0.35,11.6,Andholmen 1
2021-06-27,11.442857142857141,87.28571428571429,6.128571428571428,8.2,0.11,0.22,0.01,11.8,Andholmen 1
2021-07-04,12.464285714285714,89.28571428571429,5.971428571428571,10.2,0.09,0.37,0.0,12.3,Andholmen 1
2021-07-11,15.328571428571427,93.57142857142857,4.928571428571429,8.3,0.22,0.5,0.01,13.7,Andholmen 1
2021-07-18,14.542857142857143,90.42857142857143,9.657142857142857,13.2,0.25,0.46,0.05,14.6,Andholmen 1
2021-07-25,12.507142857142856,90.42857142857143,7.571428571428571,7.1,0.2,0.64,0.03,14.1,Andholmen 1
